seq,c_id,p_id,ans,name,name_ja,m_id,m_kbn,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,desc
140,58,1,58_1,Ⅳ CUP,カップ4,C4,スートカード,,新たな展開の兆し動き出す,気持ちを受け取っていない,目先の感情で行動する,誘惑にまける,社会・周囲と接触を持つ,
141,59,1,59_1,Ⅴ CUP,カップ5,C5,スートカード,,また向き合うものを見つける,今の感情に振り回されない,喪失感からの脱却,視点を変える,しがらみから逃れられない,
142,60,1,60_1,Ⅵ CUP,カップ6,C6,スートカード,,過去の思い出にとらわれる,ゆがんだ思い出,自分よがりな思い出,過去から何も学んでいない,過去を断ち切り前を向く,
143,61,1,61_1,Ⅶ CUP,カップ7,C7,スートカード,,自分を取り戻す,妄想から覚める,何を求めているかわかる,理想と現実の違いを知る,夢から覚めていく過程,
144,62,1,62_1,Ⅷ CUP,カップ8,C8,スートカード,,気持ちを断ち切れない,過去の感情を手放さない,未練がましい,心に行動できな理由,感情で満たす,
145,63,1,63_1,Ⅸ CUP,カップ9,C9,スートカード,,一時的な幸福で満たされる,見せかけの幸福感,手放さないことで多くのチャンスを失う,手に入れた,自分よがりな自己満足,
146,64,1,64_1,Ⅹ CUP,カップ10,C10,スートカード,,条件付きな幸せ,条件付きで思いが叶う,手にいれられない物でも幸せ,幸せの形にこだわらない,家族不在・孤独な生活,
147,69,1,69_1,ACE of PENTACLES,ペンタクルのエース,P1,スートカード,,実りが感じられない,言葉が曖昧,理解不足,損失,健康を害する,
148,70,1,70_1,Ⅱ PENTACLES,ペンタクル2,P2,スートカード,,バランスがとれない,理解できない,不安定,価値観の不一致,期待を裏切られる,
149,71,1,71_1,Ⅲ PENTACLES,ペンタクル3,P3,スートカード,,学んで実践できない,ひとりよがり,できると思っている,弱い人平凡な人,力不足で未完に終わる,
150,72,1,72_1,Ⅳ PENTACLES,ペンタクル4,P4,スートカード,,執着心から出遅れる,他に配慮ない,欲深く経済的損失が出る,品位に欠けるお金の使い方,物質的な墜落,
151,73,1,73_1,Ⅴ PENTACLES,ペンタクル5,P5,スートカード,,多重債務,援助が必要,助けがあることに気づかない,失うものがある,貧しさで心がすさむ,
152,74,1,74_1,Ⅵ PENTACLES,ペンタクル6,P6,スートカード,,おせっかいになる,投資先を間違う,要求が伝わらない,労働条件の不一致,受け取るものを受け取れない,
153,75,1,75_1,Ⅶ PENTACLES,ペンタクル7,P7,スートカード,,計画通りにいかない,成果が出せない中途半端,自分の力の無さが不甲斐ない,完璧を目指すが行動伴わない,物質的成功だけ目指す,
154,76,1,76_1,Ⅷ PENTACLES,ペンタクル8,P8,スートカード,,長期的な努力の放棄,単調さやマンネリを感じる日々,技術不足,大ざっぱで細かいこと避ける,楽をしようとして損害を招く,
155,77,1,77_1,Ⅸ PENTACLES,ペンタクル9,P9,スートカード,,契約が無効になる,信用を失う,支援を受けられない,悪意を働いて登り詰める,望むものを得られない,
156,78,1,78_1,Ⅹ PENTACLES,ペンタクル10,P10,スートカード,,不達成、限界,欠損、不足が出る終わり方,実力不足,経験力不足,損害、損失の危機,
